Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Dogra 1999,1999,PUB,24344893,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>removable ankle support versus non-removable ankle support (after surgical fracture management)</p>","<p><b>Total number of randomised participants: </b>52</p><p><b>Source population: </b>single centre, Hartlepool District General Hospital, UK</p><p><b>Inclusion criteria: </b>bimalleolar fracture; surgical fixation required; stable fixation, 16 to 65 years of age</p><p><b>Exclusion criteria: </b>people with previous ankle disease or other concomitant skeletal injury</p><p><b>Overall baseline characteristics</b></p><ul><li><b>Age, mean (range): </b>42.7 (18 to 65) years</li><li><b>Sex (m/f): </b>27/25</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>all had bimalleolar fracture</li></ul><p>Baseline characteristics not reported by group</p>","<p><b>Timing of randomisation: </b>within 24 hours after surgery</p><p><b>Treatment management for both groups: </b>below-knee walking cast for 4 weeks after 2 weeks in backslab, graduated weight-bearing, advice on ankle remobilisation after 6 weeks postoperatively</p><p><b>Intervention group</b></p><ul><li><b>Number randomised:</b> 26; losses: 0; number analysed at each time point: 26</li><li><b>Treatment management: </b>active ankle dorsiflexion and plantarflexion movements starting 24 hours postoperatively, 4 times 10 minutes/day for 2 weeks. Ankle resting in below-knee backslab at all other times</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 26; losses: 0; number analysed at each time point: 26</li><li><b>Treatment management: </b>ankle continuously in below-knee backslab for 2 weeks</li></ul>","<p><b>Timing of assessments:</b> 12 weeks after randomisation</p><p><b>End of treatment:</b> nil</p><p><b>End of follow-up:</b> 12-week data</p><p><b>Included in this review:</b> activity limitation questionnaire, pain, ankle range of motion, adverse events</p><p><b>Other outcomes measured in the study:</b> none</p><p><b>Note: </b>we could not use data for one case of superficial infection because these data were not reported by intervention group</p>","<p><b>Study dates: </b>not reported</p><p><b>Funding sources: </b>not reported</p><p><b>Declarations of interest: </b>not reported</p><p><b>Note: </b>additional information received from A Rangan (regarding method of randomisation, source population)</p>"
Egol 2000,2000,MIX,24344896,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>removable ankle support versus non-removable ankle support (after surgical fracture management)</p>","<p><b>Total number of randomised participants: </b>60</p><p><b>Source population: </b>single centre, tertiary care centre, USA</p><p><b>Inclusion criteria: </b>closed, isolated, unstable ankle fracture, surgical fixation required, complete skeletal growth, non-neuropathic joint</p><p><b>Exclusion criteria: </b>not reported</p><p><b>Baseline characteristics for intervention group</b></p><ul><li><b>Age, mean (SD): </b>39.5 (± 17.2) years</li><li><b>Sex (m/f): </b>13/14</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>Lauge-Hansen supination-external rotation/supination-adduction/pronation-external rotation/pronation-abduction: 24/1/1/1</li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, mean (SD): </b>45.6 (± 17.5) years</li><li><b>Sex (m/f): </b>10/18</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>Lauge-Hansen supination-external rotation/supination-adduction/pronation-external rotation/pronation-abduction: 22/1/1/4</li></ul>","<p><b>Timing of randomisation: </b>after surgery</p><p><b>Treatment management for both groups: </b>weight-bearing started 6 weeks postoperatively (8 weeks for those with syndesmosis screw)</p><p><b>Intervention group</b></p><ul><li><b>Number analysed:</b> 27. Overall losses, as below. Number allocated to each was not reported</li><li><b>Treatment management: </b>plaster splint 2 to 3 days postoperatively, then Aircast removable functional brace for 6 weeks, active and passive ankle and subtalar exercises 3 times/day from 3 to 4 days postoperatively</li></ul><p><b>Control group</b></p><ul><li><b>Number analysed:</b> 28. Overall losses, as below. Number allocated to each was not reported</li><li><b>Treatment management: </b>plaster splint 2 to 3 days postoperatively, then fibreglass short-leg cast for 6 weeks, physiotherapy after 6 weeks postoperatively</li></ul><p><b>Overall losses: </b>not reported by group. Moved abroad = 1; developed multiple sclerosis with severe progression of disease = 1; lost to follow-up = 3</p>","<p><b>Timing of assessments:</b> 6, 12, 26 and 52 weeks after randomisation</p><p><b>End of treatment:</b> 6-week data used</p><p><b>End of follow-up:</b> 52-week data used</p><p><b>Included in this review:</b> activity limitation questionnaire, adverse events</p><p><b>Other outcomes measured in the study:</b> quality of life (incomplete raw data and no between-group differences given), radiographs, return to work</p>","<p><b>Study dates: </b>30 June 1995 to 30 June 1997</p><p><b>Funding sources: </b>not reported</p><p><b>Declarations of interest: </b>not reported</p><p><b>Note: </b>we received additional information received from study author, K Egol (regarding method of allocation, source population)</p>"
Finsen 1989,1989,PUB,24344898,"<p>RCT, parallel design, 3-armed trial</p><p><b>Review comparisons: </b>early weight-bearing versus delayed weight-bearing; removable ankle support versus non-removable ankle support (after surgical fracture management)</p>","<p><b>Total number of randomised participants:</b> 56</p><p><b>Source population: </b>Trondheim University Hospital, Norway</p><p><b>Inclusion criteria: </b>displaced ankle fracture (must include fracture of the lateral malleolus); surgical fixation required; operation within 1 week of fracture; stable osteosynthesis allowing active ankle movement but not unprotected weight-bearing; no concomitant injury; could attend follow-up visits</p><p><b>Exclusion criteria: </b>not specified. However, we noted that participants were excluded for the following reasons: discharged before measurement of bone mineral, refusal to participate, did not attend follow-up appointments, could not manage weight-bearing routine (owing to epilepsy)</p><p><b>Baseline characteristics for weight-bearing group</b></p><ul><li><b>Age, mean (SE): </b>43 (± 5.2) years</li><li><b>Sex (m/f): </b>5/14</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>Weber A/B/C, uni-/bi-/trimalleolar:0/16/3, 8/4/7</li></ul><p><b>Baseline characteristics for exercise group</b></p><ul><li><b>Age, mean (SE): </b>43 (± 3.2) years</li><li><b>Sex (m/f): </b>8/10</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>Weber A/B/C, uni-/bi-/trimalleolar: 0/15/3, 8/4/6</li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, mean (SE): </b>40 (± 3.3) years</li><li><b>Sex (m/f): </b>8/11</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>Weber A/B/C, uni-/bi-/trimalleolar: 0/16/3, 8/2/9</li></ul>","<p><b>Timing of randomisation: </b>immediately after surgery</p><p><b>Treatment management for both groups: </b>full weight-bearing after 6 weeks postoperatively</p><p><b>Weight-bearing group</b></p><ul><li><b>Number randomised:</b> 19; losses: 5 (reasons not explained by group, see below); number analysed for activity limitation: 14; number analysed for adverse events: 19</li><li><b>Treatment management: </b>below-knee plaster cast with rubber walker for 6 weeks, weight-bearing as tolerated</li></ul><p><b>Exercise group</b></p><ul><li><b>Number randomised:</b> 18; losses: 5 (reasons not explained by group, see below); number analysed for activity limitation: 13; number analysed for adverse events: 18</li><li><b>Treatment management: </b>below-knee plaster cast for 3 days, ankle and subtalar range of motion exercises daily</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 19; losses: 4 (reasons not explained by group, see below); number analysed for activity limitation: 15; number analysed for adverse events: 19</li><li><b>Treatment management: </b>below-knee lightweight plaster cast for 6 weeks, non weight-bearing</li></ul><p>Overall losses: 14 (4 lost to follow-up at 8 months, a further 10 lost to follow-up at 1 year)</p>","<p><b>Timing of assessments:</b> 9, 18, 36, 52 and 104 weeks after randomisation</p><p><b>End of treatment: </b>nil</p><p><b>End of follow-up:</b> 52-week data used as more complete than 104-week data</p><p><b>Included in this review:</b> activity limitation questionnaire, adverse events</p><p><b>Other outcomes measured in the study:</b> pain (categorical scale), return to work, subtalar range of motion, radiographs, bone mineral content</p><p><b>Note: </b>some adverse event data were not described by intervention group and we could not include these data in the review (deep infection and superficial infection), ankle dorsiflexion and plantarflexion range of motion (categorical scale), swelling (categorical scale)</p>","<p><b>Study dates: </b>November 1983 and June 1985</p><p><b>Funding sources: </b>not reported</p><p><b>Declarations of interest: </b>not reported</p><p><b>Notes:</b></p><p>We have used data from this study for the following comparison groups in the review:</p><ul><li>early versus delayed weight-bearing: cast with weight-bearing versus cast with no weight-bearing</li><li>removable support versus fixed support: exercise versus cast with no weight-bearing</li></ul><p>We reported data for other possible ways to compare these study groups in <a type=""APPENDIX"" href=""437258924278140821"">Appendix 2</a>.</p>"
Fitzgerald 1994,1994,PUB,24344901,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>other rehabilitation interventions</p>","<p><b>Total number of randomised participants: </b>20</p><p><b>Source population: </b>single centre, emergency department of a general hospital, Ireland</p><p><b>Inclusion criteria: </b>ankle fracture, surgical fixation required, no other injuries or pathologies, adults</p><p><b>Baseline characteristics for intervention group</b></p><ul><li><b>Age, mean (range): </b>36.5 (25 to 60) years</li><li><b>Sex (m/f): </b>6/4</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>bi-/trimalleolar: 8/2</li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, mean (range): </b>34.8 (21 to 64) years</li><li><b>Sex (m/f): </b>7/3</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>bi-/trimalleolar: 7/3</li></ul>","<p><b>Timing of randomisation: </b>after surgery</p><p><b>Intervention group</b></p><ul><li><b>Number randomised:</b> 10; losses: 3 (reasons not reported); number analysed: 7</li><li><b>Treatment management: </b>compression stocking (18 mmHg at the ankle, 8 mmHg below the knee) and below-knee plaster cast for 6 weeks</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 10; losses: 0; number analysed: 10</li><li><b>Treatment management: </b>below-knee plaster cast for 6 weeks</li></ul>","<p><b>Timing of assessments:</b> baseline, 6, 12 and 18 weeks after randomisation</p><p><b>End of treatment:</b> 6-week data used</p><p><b>End of follow-up:</b> 18-week data used</p><p><b>Included in this review:</b> adverse events (zero events)</p><p><b>Other outcomes measured in the study:</b> air plethysmography, swelling</p>","<p><b>Study dates: </b>not reported</p><p><b>Funding sources: </b>not reported</p><p><b>Declarations of interest: </b>not reported</p><p><b>Notes: </b></p><ul><li>We received additional information from study author, P Fitzgerald (regarding methods of randomisation and allocation, assessor blinding, source population, adverse events, dropouts, additional data)</li><li>We did not include a third group (early weight-bearing) from the study in this review as allocation to this group was a clinical decision and not by randomisation.</li></ul>"
Franke 2008,2008,PUB,24344903,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>removable ankle support versus non-removable ankle support (after surgical fracture management)</p>","<p><b>Total number of randomised participants: </b>27</p><p><b>Source population: </b>single centre, Berufsgenossenschaftlichte Unfallklinik (Liability Insurance Traumatology Clinic), Ludwigshafen, Germany</p><p><b>Inclusion criteria: </b>closed, isolated, surgically-treated ankle fractures; 18 to 65 years of age; simple or bimalleolar fractures</p><p><b>Exclusion criteria: </b>open fractures, multi-fragmentary fractures and fractures requiring a positioning screw; and people with any other disorders involving restriction of mobility, limited ambulation on forearm crutches, or situations affecting the healing process (e.g. joint disease, neurological disorder, amputation)</p><p><b>Baseline characteristics for intervention group</b></p><ul><li><b>Age, median (range): </b>44.3 (20.3 to 59.4) years</li><li><b>Sex (m/f): </b>7/7</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>simple Weber B/bimalleolar Weber B: 13/1</li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, median (range): </b>40.8 (25 to 64.1) years</li><li><b>Sex (m/f): </b>8/5</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>simple Weber B/bimalleolar Weber B: 13/0</li></ul>","<p><b>Timing of randomisation: </b>not reported</p><p><b>Treatment management for both groups: </b>full weight-bearing allowed from day 15</p><p><b>Intervention group</b></p><ul><li><b>Number randomised:</b> 14; losses: 1 (personal reasons); number analysed at each time point: 13</li><li><b>Treatment management: </b>dynamic vacuum orthosis for 6 weeks. Partial weight-bearing and ankle exercises (10 degrees dorsi- and plantarflexion) from the second postoperative day. Thrombosis prophylaxis during the period of limited mobility</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 13; losses: 2 (personal reasons); number analysed at each time point: 11</li><li><b>Treatment management: </b>circular cast (with a window cut in it on the second post-operative day to permit ankle plantarflexion). After replacement by a supportive bandage, partial weight-bearing of 20 kg was prescribed from the time of wound healing to the 14th postoperative day. Participants attended physiotherapy 3 times a week for 4 weeks following their 6-week immobilisation. Thrombosis prophylaxis for the duration of immobilisation</li></ul>","<p><b>Timing of assessments:</b> 6 and 10 weeks</p><p><b>End of treatment:</b> 10-week data used</p><p><b>End of follow-up:</b> nil</p><p><b>Included in this review:</b> activity limitation questionnaire, quality of life, participant satisfaction, adverse events</p><p><b>Other outcomes measured in the study:</b> ankle dorsiflexion range of motion (categorical data), ankle plantarflexion range of motion (categorical data), time to return to work, economic parameters</p>","<p><b>Study dates: </b>not reported</p><p><b>Funding sources: </b>not reported</p><p><b>Declarations of interest: </b>not reported</p><p><b>Note: </b>we received additional information from study author, J Franke (regarding method of allocation, assessor blinding, intention to treat)</p>"
Ginandes 1999,1999,PUB,24344905,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>other rehabilitation interventions</p>","<p><b>Total number of randomised participants: </b>12</p><p><b>Source population: </b>multicentre, Orthopaedic Emergency Department of Massachusetts General Hospital, USA, and McLean Hospital, USA</p><p><b>Inclusion criteria: </b>acute non-displaced lateral malleolar fracture, 19 to 49 years of age, no previous fracture or arthritic condition involving the injured ankle, no coexisting illness, condition, medication or substance use that would influence bone healing or contraindicate hypnosis, fluency in English, available for the treatment period</p><p><b>Overall baseline characteristics</b></p><ul><li><b>Sex (m/f): </b>3/9</li></ul><p>No other baseline characteristics reported by group</p>","<p><b>Timing of randomisation: </b>within 48 hours of presentation</p><p><b>Treatment management for both groups: </b>cast immobilisation for 6 weeks, orthopaedic follow-up clinics at 1, 3, 6, 9, 12 weeks after injury, no physiotherapy or rehabilitation</p><p><b>Intervention group</b></p><ul><li><b>Number randomised:</b> 6; losses: 1 (withdrew prior to intervention); number analysed at each time point: 5</li><li><b>Treatment management: </b>6 individual hypnotic interventions over 12 weeks with a psychologist trained in clinical hypnosis, hypnotic audiotapes for daily home practice</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 6; losses: 0; number analysed at each time point: 6</li><li><b>Treatment management: </b>cast immobilisation for 6 weeks, orthopaedic follow-up clinics at 1, 3, 6, 9, 12 weeks after injury, no physiotherapy or rehabilitation</li></ul>","<p><b>Timing of assessments:</b> 1, 3, 6, 9 and 12 weeks after randomisation</p><p><b>End of treatment:</b> 12-week data used</p><p><b>End of follow-up:</b> nil</p><p><b>Included in this review:</b> pain </p><p><b>Other outcomes measured in the study:</b> use of analgesics, tenderness on palpation, radiographs, hypnotic induction profile, ankle dorsiflexion and plantarflexion range of motion, swelling</p>",<p><b>Study dates: </b>not reported</p><p><b>Funding sources: </b>supported by a grant from the NIH's Office of Alternative Medicine</p><p><b>Declarations of interest:</b> not reported</p>
Gorodetskyi 2010,2010,PUB,24344907,"<p>RCT, parallel design, 3-armed trial</p><p><b>Review comparison: </b>other rehabilitation interventions (electrotherapy)</p>","<p><b>Total number of randomised participants:</b> 60</p><p><b>Source population: </b>single centre; Moscow, Russia</p><p><b>Inclusion criteria: </b>surgically treated bimalleolar, AO type B2 ankle fracture with comminution and displacement of fragments, age 20 to 60 years, able to begin therapy within 24 hours of the initial procedure, compliance with the ongoing regimen of care</p><p><b>Exclusion criteria:</b> limitation that could interfere with delivery of electrical stimulation, history of epilepsy or seizure, current pregnancy, active malignancies, inability to consent to participation</p><p><b>Overall baseline characteristics</b></p><p><b>Baseline characteristics for intervention group</b></p><ul><li><b>Age, mean (range): </b>35.3 (21 to 57) years</li><li><b>Sex (m/f): </b>16/14</li><li><b>Surgery:</b> all had surgery</li><li><b>Fracture severity: </b>all had bimalleolar, AO type B2 ankle fracture with comminution and displacement of fragments</li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, mean (SD): </b>38.4 (22 to 58) years</li><li><b>Sex (m/f):</b>17/13</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity: </b>all had bimalleolar, AO type B2 ankle fracture with comminution and displacement of fragments</li></ul>","<p><b>Timing of randomisation: </b>no more than 24 hours after surgery</p><p><b>Treatment management for both groups:</b> standard interdisciplinary postoperative care and daily physiotherapy sessions focused on exercise to increase range of motion and mobility. Non-narcotic analgesic (Ketorolac) as needed up to 3 times per day.</p><p><b>Intervention group</b></p><ul><li><b>Number randomised:</b> 30; no losses</li><li><b>Treatment management:</b> twice-daily noninvasive interactive neurostimulation (NIN) for 10 consecutive days, delivered to the tissue at 7 different sites in the foot/ankle region via a pair of concentric electrodes placed in direct contact with the target area</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 30; no losses</li><li><b>Treatment management: </b>twice-daily sham NIN for 10 consecutive days</li></ul>","<p><b>Timing of assessments:</b> daily (measured after the morning treatment session) from day 1 to 10 of treatment.</p><p><b>End of treatment:</b> 10-day data used</p><p><b>End of follow-up:</b> nil</p><p><b>Included in this review:</b> pain, range of motion</p><p><b>Other outcomes measured in the study:</b> swelling</p>",<p><b>Study dates:</b> not reported</p><p><b>Funding sources:</b> partial funding from Neuro Resource Group</p><p><b>Declarations of interest:</b> 1 study author is a paid consultant for Neuro Resource Group; no potential conflicts of interest for other study authors</p>
Handolin 2005,2005,MIX,26464774,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>other rehabilitation interventions (electrotherapy)</p>","<p><b>Total number of randomised participants:</b> 16</p><p><b>Source population:</b> single centre; Department of Orthopaedics and Traumatology, Helsinki University Central Hospital, Finland</p><p><b>Inclusion criteria: </b>closed isolated Weber B lateral malleolar ankle fracture (bimalleolar or trimalleolar fracture excluded), surgical fixation required, age 18 to 65 years</p><p><b>Exclusion criteria: </b>bimalleolar and trimalleolar fractures</p><p><b>Baseline characteristics for intervention group</b></p><ul><li><b>Age, mean (range): </b>43.3 (28 to 66) years</li><li><b>Sex (m/f):</b> 3/5</li><li><b>Surgery:</b> all had surgery</li><li><b>Fracture severity:</b> Weber B unimalleolar </li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, mean (range):</b> 41.8 (22 to 59) years</li><li><b>Sex (m/f): </b>4/4</li><li><b>Surgery:</b> all had surgery</li><li><b>Fracture severity:</b> Weber B unimalleolar</li></ul>","<p><b>Timing of randomisation:</b> 2 weeks after surgery</p><p><b>Treatment management for both groups:</b> removable soft cast brace for 6 weeks, partial weight-bearing at 2 weeks postoperatively, full weight-bearing at 4 weeks postoperatively</p><p><b>Intervention group </b></p><ul><li><b>Number randomised:</b> 8; no losses; analysed: 8 </li><li><b>Treatment management:</b> active ultrasound 20 minutes/day for 6 weeks from 2 weeks postoperatively, to the lateral side of the ankle over the fracture line</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 8; no losses; analysed: 8</li><li><b>Treatment management:</b> sham ultrasound 20 minutes/day for 6 weeks from 2 weeks postoperatively, to the lateral side of the ankle over the fracture line</li></ul>","<p><b>Timing of assessment: </b>18 months after randomisation (radiographs also taken at 2, 6, 9 and 12 weeks)</p><p><b>End of treatment:</b> nil</p><p><b>End of follow-up: </b>18-month data used</p><p><b>Included in this review:</b> activity limitation questionnaire, pain, adverse events</p><p><b>Other outcomes measured in the study</b>: radiographs, computed tomography, clinical assessment of wound and ankle stability, bone mineral content, ankle dorsiflexion, range of motion, swelling</p>","<p><b>Study dates: </b>7 November 2001 to 1 January 2002</p><p><b>Funding sources:</b> research grants from the Foundation for Orthopaedical and Traumatological Research in Finland, Helsinki University Central Hospital, and the Academy of Finland. Ultrasound devices supplied by Exogen Inc.</p><p><b>Declarations of interest:</b> not reported</p><p><b>Note:</b> we received additional information from study author, L Handolin (regarding methods of randomisation and allocation, details of assessment, adverse events, dropouts, additional data)</p>"
Hedstrom 1994,1994,PUB,24344911,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>removable ankle support versus non-removable ankle support (after surgical fracture management)</p>","<p><b>Total number of randomised participants:</b> 53</p><p><b>Source population:</b> single centre; Sweden</p><p><b>Inclusion criteria:</b> closed lateral malleolar fracture dislocated &gt; 2 mm, surgical fixation required, adults</p><p><b>Exclusion criteria:</b> open fractures, children, unable to cooperate</p><p><b>Baseline characteristics for intervention group</b></p><ul><li><b>Age, mean (range): </b>44 (15 to 70) years</li><li><b>Sex (m/f):</b> 13/15</li><li><b>Surgery:</b> all had surgery</li><li><b>Fracture severity: </b>Lauge Hansen supination-eversion II/supination-eversion III/supination-eversion IV/pronation-abduction III/pronation-eversion III/pronation-eversion IV: 13/2/8/1/1/3</li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, mean (SD): </b>41 (16 to 71) years</li><li><b>Sex (m/f):</b> 11/14</li><li><b>Surgery:</b> all had surgery</li><li><b>Fracture severity:</b> Lauge Hansen supination-eversion II/supination-eversion III/supination-eversion IV/pronation-abduction III/pronation-eversion III/pronation-eversion IV: 10/5/7/1/1/1</li></ul>","<p><b>Timing of randomisation: </b>immediately after surgery</p><p><b>Treatment management for both groups: </b>weight-bearing</p><p><b>Intervention group</b></p><ul><li><b>Number randomised:</b> 28; losses at 18 months: 2 (lost to follow-up)</li><li><b>Treatment management: </b>orthosis for an unspecified period, unloaded dorsiflexion and plantarflexion exercises without orthosis at least 5 times/day</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised: </b>25; losses at 18 months: 4 (lost to follow-up) </li><li><b>Treatment management:</b> walking cast for an unspecified period</li></ul>","<p><b>Timing of assessment:</b> 3, 6 and a minimum of 18 months after randomisation</p><p><b>End of treatment:</b> nil</p><p><b>End of follow-up:</b> 18-month data used</p><p><b>Included in this review:</b> activity limitation questionnaire, adverse events</p><p><b>Other outcomes measured in the study: </b>radiographs, ankle dorsiflexion, and plantarflexion range of motion</p>",<p><b>Study dates:</b> not reported</p><p><b>Funding sources:</b> not reported</p><p><b>Declarations of interest: </b>not reported</p>
Hernandez 2006,2006,MIX,24344913,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>other rehabilitation interventions (electrotherapy)</p>","<p><b>Total number of randomised participants:</b> 24</p><p><b>Source population: </b>single centre; Israel</p><p><b>Inclusion criteria:</b> closed ankle fracture, surgical fixation required, adults</p><p><b>Exclusion criteria:</b> conditions preventing mobilisation or immobilisation, history of cardiomyopathy, pacemaker use, peripheral vascular disease, females of childbearing age, and medication affecting bone metabolism</p><p><b>Baseline characteristics for intervention group</b></p><ul><li><b>Age, mean (SD):</b> 41.5 (± 13.4) years</li><li><b>Sex (m/f):</b> 8/4</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity, uni-/bi/trimalleolar: </b>2/9/1</li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, mean (SD):</b> 43.5 (± 14.1) years</li><li><b>Sex (m/f):</b> 8/4</li><li><b>Surgery: </b>all had surgery</li><li><b>Fracture severity, uni-/bi/trimalleolar:</b> 5/5/2</li></ul>","<p><b>Timing of randomisation: </b>24 hours after surgery</p><p><b>Treatment management for both groups:</b> walking cast for 6 weeks, weight-bearing as tolerated, passive ankle range of motion exercises for 24 hours 1 to 2 days after surgery, instructions in cast care, walking, and stairs</p><p><b>Intervention group</b></p><ul><li><b>Number randomised:</b> 12; losses: 2 (reasons not reported)</li><li><b>Treatment management:</b> electrical stimulator (Myospare) at an intensity sufficient to elicit a muscular twitch to gastrocnemius, 1 minute on/4 minutes off, for an unspecified length of time daily for 6 weeks</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 12; losses: 1 (reasons not reported)</li><li><b>Treatment management:</b> same as 'treatment for both groups'</li></ul>","<p><b>Timing of assessments:</b> 2, 6, and 12 weeks after randomisation</p><p><b>End of treatment:</b> 6-week data used</p><p><b>End of follow-up:</b> 12-week data used</p><p><b>Included in this review: </b>activity limitation questionnaire, pain, adverse events</p><p><b>Other outcomes measured in the study:</b> ankle dorsiflexion and plantarflexion range of motion, swelling</p>","<p><b>Study dates: </b>May 2004 to November 2011</p><p><b>Funding:</b> not reported</p><p><b>Declarations of interest:</b> not reported</p><p><b>Note: </b>we received additional information from study author, E Leibner (regarding additional data, dropouts).</p>"
Honigmann 2007,2007,PUB,24344916,"<p>RCT, parallel design, 2-armed trial</p><p><b>Review comparison: </b>early weight-bearing versus delayed weight-bearing</p>","<p><b>Total number of randomised participants:</b> 45</p><p><b>Source population:</b> single centre; Switzerland</p><p><b>Inclusion criteria:</b> isolated and displaced Weber A or B ankle fracture, surgical fixation required, age 16 to 65 years, BMI &lt; 35 kg/m<sup>2</sup></p><p><b>Exclusion criteria:</b> not reported</p><p><b>Baseline characteristics for intervention group</b></p><ul><li><b>Age, median (range): </b>42.5 (17.3 to 61.9)<b> </b>years</li><li><b>Sex (m/f):</b> 14/9</li><li><b>Surgery:</b> all had surgery</li><li><b>Fracture severity, Weber A/B: </b>1/22<b> </b></li></ul><p><b>Baseline characteristics for control group</b></p><ul><li><b>Age, median (range):</b> 38.1 (18.5 to 65.7) years</li><li><b>Sex (m/f):</b> 9/13</li><li><b>Surgery:</b> all had surgery</li><li><b>Fracture severity, Weber A/B: </b>0/22<b> </b></li></ul>","<p><b>Timing of randomisation:</b> after surgery</p><p><b>Treatment management for both groups:</b> partial weight-bearing with crutches, ankle range of motion exercises</p><p><b>Intervention group </b></p><ul><li><b>Number randomised:</b> 23; losses: 2 (lost to follow-up at 3 weeks, and 6 weeks); analysed: 21</li><li><b>Treatment management:</b> VACOped (removable immobilisation in a vacuum orthosis) for 6 weeks, full weight-bearing after 14 days, walking without crutches allowed at 3 weeks, orthosis off for ankle range of motion exercises and sleep</li></ul><p><b>Control group</b></p><ul><li><b>Number randomised:</b> 22; no losses; analysed: 22</li><li><b>Treatment management: </b>plaster splint 2 to 4 days, then bandage only, full weight-bearing after 6 weeks</li></ul>","<p><b>Timing of assessments:</b> 6 and 10 weeks after randomisation</p><p><b>End of treatment:</b> 6-week data used</p><p><b>End of follow-up: </b>10-week data used</p><p><b>Included in this review:</b> activity limitation questionnaire, quality of life, participant satisfaction, pain, adverse events</p><p><b>Other outcomes measured in the study: </b>return to work, duration of hospitalisation, ankle dorsiflexion and plantarflexion range of motion, swelling</p>","<p><b>Study dates:</b> not reported</p><p><b>Funding sources: </b>not reported</p><p><b>Declarations of interest:</b> not reported</p><p><b>Note:</b> we received additional information from study author, P Honigmann (method of randomisation, sex of participants, confirmation of results reported)</p>"
